,prompt,completion,brief_type,data_type,file_path,file_name
10,"Owens-Illinois, Inc. was not named in pleadings as a defendant in the Dane County action. The reason OI was not a named defendant was theexistence of a written agreement between OI and clients of Cascino Vaughan Law Offices to attempt settlement before filing lawsuits. Negotiations about the Suoja claim with OI were attempted in the 1997-99 period, but unsuccessful as set forth below. On January 25, 1999, Plaintiff responded she “cannot admit or deny inhalation” of asbestos attributable to OI. The claim against Sprinkmann Sons Corporation, an insulation contractor, was resolved by a negotiated dollar settlement, and resolution of productexposure claims involving the Sprinkman Company did not occur.
 Judgment -->", deny,opposition,test,1106,gov.uscourts.wiwd.2665.101.0.txt
11,"Owens-Illinois, Inc. was not named in pleadings as a defendant in the Dane County action. The reason OI was not a named defendant was theexistence of a written agreement between OI and clients of Cascino Vaughan Law Offices to attempted settlement before filing lawsuits. Negotiations about the Suoja claim with OI were attempted in the 1997-99 period, but were unsuccessful as set forth below. The claim against Sprinkmann was resolved by a negotiated dollar settlement, and resolution of product exposure issues involving Sprinkman did not occur. The case was dismissed on the merits “on the merits” on July 21, 2013. The jury returned a decision in favor of the plaintiff, with the jury’s verdict to be decided by a trial judge on August 4, 2013, at 4:30 p.m. (GMT)
 Judgment -->", deny,opposition,test,1106,gov.uscourts.wiwd.2665.106.0.txt
12,"Owens-Illinois, Inc. submits the following response to Plaintiff’s.Corrected Numbered Statement of Additional Proposed Facts (ECF No. 107) pursuant to the Court’. procedure on motions for summary judgment. The reason OI was not a named defendant was the existence of a written. agreement between OI and clients of Cascino Vaughan Law Offices to attemptsettlement before. filing lawsuits. OI counsel would be notified by the clients of the agreement about the. existence of the claim and settlement would be attempted before a client initiated a lawsuit against OI. The Plaintiffs claim that the terms of the written agreement, or its alleged terms, were set forth below as set forth in the 1997-period, but were unsuccessful as set out below.
 Judgment -->", deny,opposition,test,1106,gov.uscourts.wiwd.2665.110.0.txt
13,"The plaintiffs are Sheldon Adelson, Lawrence Ellison, John Hagee, Irving Moskowitz, Haim Saban, American Friends of Ariel, American. Friends of Bet El Yeshiva, Christian Friends of Israeli Communities, Veolia Environnement S.A., Veolia North America, LLC, Hewlett Packard (Israel) Ltd., Motorola Solutions, Inc., and Jewish National Fund (Keren Kayemeth Le Israel) Inc.* (collectively “Defendants’) move to dismiss Plaintiffs’ Amended Complaint (the “Complaint” or “AC”). Defendants move this Court for. order dismissing the Complaint pursuant to Rule 12(b)(1) as none of the claims asserted in the. Complaint is justiciable under the political question and act of state doctrines. Defendants also. also.move to dismiss the Compl complaint on the grounds that it fails to plead an actionable claim
 Judgment -->", grant,support,train,52,gov.uscourts.dcd.177524.107.0.txt
14,"The motion should be denied for a number of reasons. ATS claims like the ones asserted herein have beenrecognized by federal district courts for at least 40 years. The D.C. Circuit concluded that private property confiscation in violation of international law is a war crime akin to genocide, especially if it involves the destruction of Palestinian homes. As alleged in the complaint, 49,000 Palestinian homes have been destroyed or confiscated by belligerent settlers and rogue Israeli army personnel. In 2014, the Israeli Army received $104 million from Friends of theIsraeli Army to maim andmurder Palestinian landowners. The Plaintiffs have alleged herein that belligerentsettlers and rogue army personnel have stolen tens of thousands of acres or private Palestinianproperty. The motion to dismiss is premised on a lack of subject matter jurisdiction. This Court has rejected the invocation of the political question doctrine or the act of state doctrine.
 Judgment -->", grant,opposition,train,52,gov.uscourts.dcd.177524.111.0.txt
15,"Wen Y. Chiang is suing Bank of America, FIA Card Services, N.A. and Bank of. America, for damages. The defendants have moved to strike paragraphs 4-6 of the affidavit of Linda Chiang a/k/a Pei PeiMen Chiang (the “Affidavit”), which was filed by plaintiff Wen Y. CHIANG. ""Hearsay"" is a statement, other than one made by the declarant while testifying at the. trial or hearing, offered in evidence to prove the truth of the matter asserted. The court ruled that inadmissible hearsay cannot be considered on a motion for summary judgment. Plaintiff's argument that the statements attributed to Mr. Xu Long Huy are admissible under exceptions to the hearsay rule as statements of a deceased person is ridiculous.
 Judgment -->", grant,support,test,976,gov.uscourts.mad.118796.69.0.txt
16,"Defendants have filed a motion to strike Paragraphs 4-6 of the Affidavit of Linda Chiang. Chiang describes conversations she had with Xu Long Huy prior to his death in 2009, on which plaintiff bases his claim for damages. In Massachusetts state courts, in a civil action, a declaration of a deceased person is not inadmissible as hearsay if the court finds that it was med in good faith and upon the personal knowledge of the declarant. The statements are admissible under exceptions to the hearsay rule as statements of a. deceased person pursuant to FRE 804(a)(4), 804 (b)(2) and 807 or business records pursuant to. FRE 803(6). Defendants argue that there is no evidence that Xu Long. Huy is deceased.
 Judgment -->", grant,opposition,test,976,gov.uscourts.mad.118796.72.0.txt
17,"The suit was filed by Joyce Ma against William Shawn and ShawnCoulson, LLP. Ma was a deponent in an earlier, related case involving Powertrain’s suit against American Honda. The lawsuit was filed just short of eight years before Ma filed this action. Ma claims Shawn breached duties to her in that earlier action by failing to document a purported do-no-harm agreement between her and Powertrain. Ma also claims Shawn failed to preserve documents (what documents she does not hint at) involving her representation at the May 2, 2005 American Honda case deposition. Ma retained her own lawyer in the Honda case before this action was filed. The suit was settled on a confidential basis, and the parties have agreed to confidential settlement terms. The case was settled out of court.
 Judgment -->", grant,support,test,221,gov.uscourts.msnd.31896.145.0.txt
18,"Third Party Plaintiff, Joyce Ma (""Ma""), and files its opposition to Third Party Defendants' Motion to Dismiss. Ma has attached her Points and Authorities in support of her position. Ma respectfully requests leave from the Court to amend the Third Party Complaint. Case: 1:11-cv-00105-GHD-DAS Doc #: 147 Filed: 02/20/14 1 of 3 PagelD #: 827 grotesque                . Case is in the U.S. District Court for the NORTHERN DISTRICT of MISSISSIPPI, in the Western Division of the Northern District of Mississippi, in a case called ""POWERTRAIN, INC. v. P.H. SHAWN, ANDSHAWNCOULSON, LLP""
 Judgment -->", grant,opposition,test,221,gov.uscourts.msnd.31896.147.0.txt
19,"The suit was filed in U.S. District Court for the Northern District of Mississippi. The suit was brought by Joyce Ma, an individual, and Best MACHINERY & ELECTRICAL, Inc., a company. The motion to dismiss was filed on February 20, 2014. Rule 1.4 of Mississippi Rules of Professional Conduct provides that. “[a] lawyer shall … promptly comply with reasonable requests for information” by the client. The court must not evaluate the likelihood of. the claim's success, but instead ascertain whether the plaintiff has stated a legally.cognizable claim that is plausible. The complaint must allege ""enough facts to state a claim to relief.that is plausible on its face,"" according to Rule 12(b)(6) of the Federal Rules of Civil Procedure.
 Judgment -->", grant,opposition,test,221,gov.uscourts.msnd.31896.148.0.txt
20,"U.S. v. Baha v. United States, No. 14-494C (Baha,) is a lawsuit against the U.S., alleging that the Army breached leases of the Jill Fab House in Kabul, Afghanistan from. Bahawoddin, between 2003 to 2009, and20l2 to 2014. Plaintiff Mohammad Khalid Baha alleges that he is the sole heir, and thus entitled to all the. property for the same time-period. The court should consolidate the two cases and stay proceedings pending resoiution of the case in the Calilbmia Superior Court in California. In Baha I, Mr. Tariq Baha makes virtually identical allegations that the. Army breached the same leases. of the same property. The Court would be best served by consolidating these two cases.
 Judgment -->", grant,support,train,922,gov.uscourts.cofc.31905.6.0.txt
21,"Plaintiffs MohammadKhalid Baha, Qudsia Badghisy, Mohammed Hamid Baha,. Fariha Samadzada, Fahima Ahrary, Mohammed Tariq Baha and Kobra Baha Kakar are legal heirs of Ghulam Bahaouddin, and as such, haye an interest in the subject property. Plaintiffs oppose Defendant's motion to stay the federal court proceedings on the following grounds: The matter is ripe for settlement discussions. Colorado River Water Conservation Dist. v. United States, 424 U.S. 800, 818, a Supreme Court case, requires that abstention be invoked only under exceptional circumstances. Abstention is appropriate in cases presenting a federal constitutional issue which might be mooted or presented in a different posture.
 Judgment -->", grant,opposition,train,922,gov.uscourts.cofc.31905.8.0.txt
22,"The state of Wisconsin asked the U.S. District Court to stay Pullman v. Walker. The case involves the state’s definition of the legal status of marriage. The federal courts should give state courts an “opportunity to clarify the meaning of a challenged state law,” the plaintiffs say. The state asks the court to stay the case until the Wisconsin Supreme Court has issued a decision in the pending case of Applingv. Walker, Case No. 2011AP1572. The judge says the stay is warranted because the claims in this forum would disrupt the administration of state marriage laws in the forum of this forum. The court will rule in favor of the plaintiffs on the merits of the case in the next few days, the judge says.
 Judgment -->", deny,support,test,880,gov.uscourts.wiwd.34772.58.0.txt
23,"The Plaintiffs are suing Wisconsin's governor, attorney general and Dane County clerk. The State of Wisconsin is seeking Burford abstention from issuing marriage licenses to same sex couples. The Plaintiffs argue that the State's argument is not supported by either fact or law. If the marriage ban is declared unconstitutional, every county clerk in the state is required to issue marriage licenses if they otherwise meet the requirements set forth in WIS STAT §765.12(1)(a). The State’s argument for Burford. abstention is not well founded. Although only three county clerks are named as defendants, all county clerks in the. state are required to. issue a marriage license if the requirements. set forth are met. The marriage license may not. be issued to persons who are already lawfully married, and specifies data and documentation. that must be presented to the county clerk. none of which pertains to gender of the person seeking to.marry.
 Judgment -->", deny,opposition,test,880,gov.uscourts.wiwd.34772.62.0.txt
24,"Same-sex couples are challenging Wisconsin’s ban against marriage for samesex couples, not its domestic partnership laws. The “State Defendants” in Appling declined to even participate in the case. The State Defendants (including Governor. Walker) assert that in light of purported “important state-law issues” to be decided in. Appling and the need for “authoritative guidance” from the Wisconsin Supreme Court, this. Court should abstain from deciding the federal constitutional issues squarely presented to. it. But under binding Seventh Circuit precedent, that is not enough to invoke Burford abstention. Instead, there must also be a state forum to adjudicate the claims at issue, and the State Defendants show no attempt to do so.
 Judgment -->", deny,opposition,test,880,gov.uscourts.wiwd.34772.60.0.txt
25,"Pursuant to DRI LR 7(b)(3), Plaintiffs request leave of this Court to submit a further reply to Defendant’s Motion to Dismiss. Plaintiffs.request leave for the sole purpose of providing the Court notice of two recently issued.decisions by this Honorable Court in Ferreira. et al v. Ditech Financial LLC et al, CA#.1:17:17-cv-00115-M-LDA and Peralta v. U.S. Bank National Association, 1.17-CV-00263M-PAS. Plaintiff has set forth plausible allegations to support a breach.of contract claim for violation of paragraph 9(d), through its failure to comnply with 24 CFR 203.604(b)”
 Judgment -->", grant,support,train,23,gov.uscourts.rid.41930.10.0.txt
26,"Plaintiff’s Motion to Supplement cites no legal precedent for supplementing the record with “text orders.” Neither of the ‘text orders’ is truly “authority’ here,’ the brief argues. The issue of whether the face-to-face meeting requirement is incorporated into a mortgage contract is a matter of Rhode Island contract law. A federal district court opinion on the issue, potentially of some persuasive value, is simply not controlling here. This Court has inherent authority to control its docket and to determine the appropriate briefs that litigants can file in support of and in opposition to motions brought before the Court. The two “ text orders” are neither new nor authority, and there is no efficiency justification for allowing the record here to be supplemented by including them in the decision.
 Judgment -->", grant,opposition,train,23,gov.uscourts.rid.41930.11.0.txt
27,"Attorneys for the Counter-Defendant IBEW 1245, of San Francisco, California, file a complaint in the U.S. District Court for the Northern District of California. The lawsuit was filed on February 22, 2008. It was filed by the defendant, a Delaware limited liability company called Mirant California, LLC, against a number of individuals and entities. The judge ruled in favor of the defendant. The suit was filed in the United States District Court of the Northern district of California, San Francisco. The case was heard by Judge Phyllis Hamilton Hamilton of the Seventh Circuit Court of Appeals, who ruled that the defendant was not entitled to a jury trial. The jury was allowed to hear the case on Friday, February 23, 2008, at 9:00 a.m. ET.
 Judgment -->", grant,support,train,10,gov.uscourts.cand.197829.10.0.txt
28,"Mirant California, LLC, a Delaware Corp., and Does 1 to 50, sued IBEW Local 1245. The Collective Bargaining Agreement between Mirant and Union 1245 provides that Power Plant Technicians Receive Duty Free Meal And Rest Periods InCompliance With California Law. The CBA To Which Mirant And Union And Mirant Are Parties Are Parties Contains Extensive Extensive Language That Is2+2+4+4.5+5. The Unions' MOTION TO DISMISS OR STRIKE COUNTERCLAIM CASE No. C 07-05847 PJH [ECF] Case 3:07-cv-05 847-PJH Document 17 Filed 01/30/2008 Page 1 of 26 encompasses 26 paragraphs.
 Judgment -->", grant,opposition,train,10,gov.uscourts.cand.197829.17.0.txt
29,"Carlos German Diaz v. Global Development Consultant, Inc., et al. “Mr. Diaz’s form of Final Default Judgment was entered eight days before opposing.memoranda of law were due to be served (DE 100)” “His Final Default. Judgment is procedurally erroneous because it was.entered against two of the four defendants in this action—whom, Mr. Diaz alleges, jointly and severally liable, and whom. have raised 12 joint defenses—without any express determination by this Court “that there is no just reason for delay””. � “[w]hen a default is entered.against one defendant in a multi-defendant case, the preferred practice is for the.court to withhold granting a default judgment until the trial of the action on the remaining defendants against the remaining. defendants.”
 Judgment -->", grant,support,train,34,gov.uscourts.flsd.416235.102.0.txt
30,"Carlos German Diaz v. Global Development Consultant, Inc., et al. Diaz sued two companies and two individual defendants. He alleged that he was employed by the Defendants since 2001, and that they intentionally refused to pay him. The defendants, jointly and severally, raised 12 joint defenses-without an express determination ""that there is no just reason for delay"" in violation of Rule 54(b). Diaz asked for a trial by jury, and the court granted him that request. The judge ruled that Diaz had standing to seek a default judgment against two of the defendants, and ordered the defendants to pay double damages and reasonable attorney fees. The jury found in favor of Diaz, and a trial is set for October 22, 2015, in U.S. District Court for the Southern District of Florida.
 Judgment -->", grant,opposition,train,34,gov.uscourts.flsd.416235.126.0.txt
31,"Plaintiff files a response to Defendants’ Motion for Relief from, and to Set Aside, the Default Judgment. Defendants seek to set aside this Court’s Final Default Judgment based upon alleged misrepresentation of facts and “reasons that justify relief.” The Eleventh Circuit described the good cause standard as: “Good cause' is a mutable standard, varying from situation to situation. It is also a liberal one--but not so elastic as to be devoid of substance."" The court may set aside an entry of default for good cause, and it can set aside a default judgment under Rule 60(b) under Rule 55(c) “Culpable or Willful Conduct; Meritorious Defense; Prejudice”
 Judgment -->", grant,opposition,train,34,gov.uscourts.flsd.416235.106.0.txt
32,"The plaintiff’s Response is a semantic sleight of hand, intended to obfuscate the narrow issue raised solely by Diego Molinari. The plaintiff throws out the “red herring” by arguing that “the Court need not analyze any of the factors of those factors, or upon those factors’ or upon the authorities cited in the motion,” says the Response. The defense and affirmative defenses of the company and individual Defendants are coterminous. A default judgment against the company Defendants would be inconsistent if. the individual Defendants defeat them at the trial by jury in this action, the Response argues. The Response mischaracterizes the motion for relief as being the ‘Defendants’ Motion for Relief…,’ when, in fact, the motion is Diego Mol inari’'s motion.
 Judgment -->", grant,opposition,train,34,gov.uscourts.flsd.416235.107.0.txt
33,"The case involves a dispute between a health care service company and a health insurance company. The company is seeking to have the case thrown out of court. The court says the case should be thrown out under Rule 12(B)(3) of the U.S. Constitution. The parties have agreed to an Arbitration Agreement in place that delegates the Scope of the Dispute to the Arbitrator. The arbitrator must now decide whether or not to grant the motion to dismiss the case. The case was heard and decided by the United States District Court for the Houston Division of the Texas Supreme Court on September 18, 2013. The decision was handed down on September 19, 2013, and the decision was published on September 20, 2013; it is available on the court's website here.
 Judgment -->", deny,support,train,1056,gov.uscourts.txsd.1452366.8.0.txt
34,"Memorial Hermann sued BCBS for breach of the BAV HMO Agreement. The parties did not agree to arbitrate this dispute. This Court, and not an arbitrator, must decide whether Memorial Hermann and BCBS. must decide if the parties had agreed to arbitrated this dispute; the inapplicable Indemnity Contract does not delegatearbitrability. The case has been appealed to the U.S. District Court for the Southern District of Texas. The decision is expected in the next few weeks. The jury is expected to deliver its verdict in less than two days. The trial will be held on April 11, 2015. The verdict will be delivered on April 13, 2015, at 10 a.m. (Eastern time) The jury will then deliberate.
 Judgment -->", deny,opposition,train,1056,gov.uscourts.txsd.1452366.14.0.txt
35,"Case 3:07-cv-02000-H-CAB Document 43 Filed 11/14/2007 Page 1 of 3. Judge's Magistrate's Order No. 11/07/07 Telephonic Discovery (Following 11/1/07 telephonic. Discovery No. 40) The Magistrate ordered the court to review and modify the Microsoft. Quicken products, even though these had already been. ordered to be removed from the market. The judge ordered the judge to modify the Quicken. products and the damages to be paid to Microsoft. The court ordered that the damages be set at $1.2 million. The case is known as ""Gateway v. Microsoft"" and is being heard in the U.S. District Court, San Diego.
 Judgment -->", deny,support,train,751,gov.uscourts.casd.256908.43.0.txt
36,"The Court Should Deny Gateway’s Request For Summary Judgment Of No.Damages Yet Again. Case 3:07-cv-02000-H-CAB.Document 49 grotesquely-referred-to-by-the-courts-in-this-case. Case No. 07--CV-2000-H (CAB)Document 49 neuro-recessive-neuro-reproportionate-nouns-in this case. Case Nos. 07-CV-2060-B (Cab) and 07- CV-0699-B. Case. No. 03-CV,1108-B, No. 04- CV, and No. 05-CV. The Complaint is filed in this case by Lucent Technologies Inc. and Multimedia Patent Trust. The complaint is filed by attorneys for Lucent, Multimedia and Gateway.
 Judgment -->", deny,opposition,train,751,gov.uscourts.casd.256908.49.0.txt
37,"The Supplemental Report Is Neither Clearly Erroneous Nor Contrary To Law. Because The Report Is Timely, Substantially Justified, And Causes No Prejudice. Lucent Technologies Inc. v. Multimedia Patent Trust. Case 3:07-cv-02000-H-CAB. Document 217-P: 217-H: 217. Filed 01/08/2008. Case No. 07--CV-2000-H (CAB) No. 7-CV-0699-B (Cab) Case 3- CV-1108-B. No. 8-CV: 1108-H. Case 9-cv: 1107-H, No. 9- CV: 1109-H; Case 10-v-C:1107-C; Case 11-j:1109-C. Case 12-J:1106-J.
 Judgment -->", deny,opposition,train,751,gov.uscourts.casd.256908.217.0.txt
38,"Georgia-Pacific, et al, v. Swift Transportation Corporation, W2008-00344-COA-R3-CV (Tenn. App., 2008) Georgia-Pacific's entire claim against DTS is premised on DTS' alleged contractual obligation to indemnify and defend G-P against the personal injury claims of Richard Waltman and R. Waltman Trucking (Civil No. 09-cv-280D) Diversified Transfer and Storage, Inc. submits this Memorandum in Support of its Motion to Dismiss pursuant to F.R.C.P.Rule 12(b)(6) Tennessee courts began by examining the language of the contract, which is exactly the same as the contract at issue here (Plaintiff's Exhibit)
 Judgment -->", deny,support,test,167,gov.uscourts.wyd.20882.14.0.txt
39,"Georgia-Pacific filed a declaratory judgment action against Defendants Diversified and Wilshire for their failure to defend and indemnify Georgia-Pacific. Truck driver Richard Waltman fell from his truck while tarping his load at the Lovell facility. Wilshire filed a notice of joinder in Diversify's motion to dismiss, but did not submit any legal or factual basis to dismiss the individual claims asserted against it. Georgia- Pacific filed a motion todismiss Wilshire's Motion to Dismiss, but Wilshire refused to consider it. The case was heard in the U.S. District Court for the District of Wyoming, where the judge held that an owner-co owner contract does not owe an indemnity for its negligence if the owner fails to perform his job.
 Judgment -->", deny,opposition,test,167,gov.uscourts.wyd.20882.18.0.txt
40,"Daniel David Rigmaiden, appearing pro se, respectfully submits this Motion To Dismiss For Destruction Of Evidence. The defendant is filing this motion considering his Fifth and Fourth Amendment rights were violated due to the government's bad faith destruction of the real-time aircard location data. This motion is supported by the memorandum of points and authorities attached hereto and incorporated by this reference. The motion and all attachments were drafted and prepared by the pro se defendant, Philip Seplow, to file on his behalf using the ECF system. The motions must be held to less stringent standards than formal pleadings drafted by lawyers. See Haines v. Kerner, 404 LRC 520 (1919) for more information on the court's rules and procedures.
 Judgment -->", deny,support,train,903,gov.uscourts.azd.396130.595.0.txt
41,"The United States, through undersigned counsel, opposes Defendant’s Motion to Dismiss. Case 2:08-cr-00814-DGC Document 633 Filed 09/23/11 Page 1 of 4 shrouded in secrecy, the government sought to conceal the use of the equipment used to locate the subject aircard in order to insulate itself from later challenges from its use. The United States failed to show that the data would be helpful, he fails to explain why other. evidence – such as e-mails or reports regarding the tracking operation or testimony from case. case.agents involved in the investigation – would be insufficient, and he fails. to show the government acted in bad faith by complying with an Order from a U.S. Magistrate Judge. The Supreme Court found no due process violation.
 Judgment -->", deny,opposition,train,903,gov.uscourts.azd.396130.633.0.txt
42,"Harvest Marketing, L.L.C., First Harvest, and Frank L. Davis are accused of breach of a promissory note. Plaintiff Jennifer Steimker seeks judgment against Harvest Marketing, First Harvest and Davis in the amount of $175,000. The motion is supported by a memorandum of points and authorities, ail of which demonstrate that Plaintiff to the relief she seeks as a matter of law. Judge Dale A. Kimball is the presiding judge in the case. The case is being heard by the U.S. District Court for the Central Division in Salt Lake City, Utah, and is expected to be completed by the end of the week. For confidential support, call the National Suicide Prevention Lifeline at 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
 Judgment -->", grant,support,train,834,gov.uscourts.utd.18110.50.0.txt
43,"Case 2:03-cv-00487-DAK Document 53 Filed 05/31/05 Page 1 of 34ousmousetroitousoglossyce. Case 2: 03-CV-000487-daK Document 54 Filed 04/05/05. Case 1:03:03 :03:00.00.000. Case 53:03.00:00,00,000,000;. 34:03  cv-000.000,001,001;. 33:00:000,002,003;. 32:02:003,04:04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,29,30,31,32:32:33:34:36,37,38,39,40,41
 Judgment -->", grant,opposition,train,834,gov.uscourts.utd.18110.53.0.txt
44,"Tendril seeks limited, expedited discovery. Tendril Networks, Inc. seeks a preliminary injunction against Defendants Marissa Hummon and Jess Melanson, both former employees of Tendril. The defendants are accused of misappropriation of trade secrets, conversion, civil theft, and breach of duty of loyalty against Tendril, among other things. The suit was filed in the District of Colorado, and is being heard by the United States District Court for the Colorado Division, which is located in Colorado Springs, Colorado. The motion for preliminary injunction was filed 09/24/18 and filed on 09/25/18 at 10:30 a.m. (CDT) (“The Defendant’s” “preliminary injunction” is “Preliminary Injunction”).
 Judgment -->", grant,support,train,374,gov.uscourts.cod.183316.2.0.txt
