,support,support_file,opposition,opposition_file,outcome,folder_id,case_path,data_type
162,"['Plaintiffs seek permission to amend the operative complaint in the form attached “Exhibit A.” The proposed amended complaint would add a state law claim for failure to payovertime compensation in violation of M.G.Civ. c. 151, § 1A. The case was recently transferred to the District of Massachusetts from the NorthernDistrict of Illinois on an uncontested motion by Defendants Saint Consulting Group, Inc., P.Michael Saint and Patrick Fox. The proposed amendment is appropriate given that this case is still in its early procedural stages, having just been transferred to this Court, and with neither party having commenced discovery or engaged in any substantive briefing. Here, Plaintiffs respectfully request that this Court grant them. the liberal standard, and allow them to amend their complaint.']",['gov.uscourts.mad.136008.52.0.txt'],"['The Saint Consulting Group, Inc. (“TS CG”), P. Michael Saint and PatrickFox (collectively “Defendants’), submit this opposition to Plaintiff’s Motion to File Second Amended Complaint. The proposed Massachusetts state law claim is based upon essentially the same allegations used to support the prior Illinois claims. The motion to Amend must be denied because: (1) it is futile; (2) it fails to meet the prerequisites of.Fed. R. Civ. P. 23(a) for class actions; and (3) it would unduly prejudice Defendants. The case was originally filed by Leigh Mayo on September 27, 2010 in the U.S. District Court for the Northern District of Illinois.']",['gov.uscourts.mad.136008.63.0.txt'],deny,846,/mnt/a536sing/sdm1/gvc-recap/8/gov.uscourts.mad.136008/,test
163,"[""Plaintiffs Mynor Abdiel Tun-Cos, José Pajarito Saput, Luis Velasquez Perdomo, Pedro Velasquez PerDomo, Germán Velasques Perdomos, Eduardo Montano Fernández, Nelson Callejas Peña, and José Cárcamo, through their counsel, respectfully seek leave to file the attached Notice of SupplementalAuthority Regarding Defendants’ Motion to Dismiss. The Defendants filed a motion to dismiss on January 2, 2018; Plaintiffs submitted their opposition on January 16, 2018, and the Defendants filed their reply on January 22, 2018. Plaintiffs’ Notice of. Supplemental. Authority concerns a Supreme Court decision issued yesterday, February 27, 2018 that is directly relevant. to this Court’s consideration of Defendants' motion to. dismiss. A proposed order accompanies this motion.""]",['gov.uscourts.vaed.371699.47.0.txt'],"['Justices Breyer, Thomas, Roberts, Sotomayor, and Kennedy said that 8 U.S.C. § 1252(b)(9) did not apply in the specific context of Jennings. Justices Alito, Thomas and Kennedy agreed with the majority of the court on that point. Justice Breyer’s dissenting opinion said that the aliens challenged “their detention without bail, not an order of removal,” and that the law applies only “[w]ith respect to review of an Order of removal under [§1252(a)(1)].” Id. at *44 (Breyer, J., dissenting) (quoting § 12 52(b), alterations in original). Justices Roberts and Kennedy, along with Justices Thomas, did not limit the law to challenges to orders of removal.']",['gov.uscourts.vaed.371699.49.0.txt'],grant,790,/mnt/a536sing/sdh1/gvc-recap/9/gov.uscourts.vaed.371699/,train
164,"[""Epic Systems Corporation, through its attorneys, moves the Court for an order dismissing the complaint filed by Plaintiff andpelling individual arbitration. The basis for said motion is contained in Defendant'sMemorandum in Support of Motion to Dismiss and Compel Individual Arbitration. The undersigned attorney certifies that on April 13, 2015, he caused a true and correctcopy of the foregoing to be served upon the following counsel of record via the Court'selectronic filing system: William Parsons, D.C. David Zoeller, C.A. Madden, and Jason Knutson, J.C., are the attorneys of record. For confidential support, call the National Suicide Prevention Lifeline at 1-800-273-8255 or visit\xa0http://www.suicidepreventionlifeline.org/.""]",['gov.uscourts.wiwd.36346.19.0.txt'],"['Epic Systems Corporation has imposed upon its employees an unjustmandate to individually arbitrate their wage claims without the benefit of their collective right to engage in concerted activity with fellow employees. This class waiver provision cannot be enforced without offending the purpose of the National Labor Relations Act and Fair Labor Standards Act. The contract is not a product of mutual agreement or meaningful choice, but of Epic’s forced “assent” from Plaintiff, who could neither seek understanding of the contract nor signal repudiation of its terms. Epic has in fact promised nothing in exchange for its employees losing their legal right to have their claims heard collectively in court. The terms of this contract to arbitrate explicitly permit Epic to escape any declarediablypromise to be bound by them. Epic also retained the unilateral and unlimited ability to change or eliminate the contract altogether.']",['gov.uscourts.wiwd.36346.42.0.txt'],deny,341,/mnt/a536sing/sdah1/gvc-recap/6/gov.uscourts.wiwd.36346/,train
165,"[""Bubble Gum Productions, LLC, is suing Comcast Cable Communications LLC in Florida for copyright infringement. Comcast has filed a motion to have the case dismissed on the grounds that it was not properly joined as a defendant in the case. The U.S. District Court for the District of Columbia has denied Comcast's motion to dismiss the case, saying that it is a “dississed case’’ and that the motion to strike Comcast’s “Notice of Noncompliance” was granted. The case is now back in court. The complaint says that the IP address owner of the alleged copyright infringer should identify himself or herself before the court relies upon any statement in the Notice. The judge says that there is no valid basis for the statements set forth in the notice.""]",['gov.uscourts.flsd.393904.46.0.txt'],"['Plaintiff failed to satisfy the stringent standard for reconsideration under Federal Rule of Civil Procedure 60(b) ‘reconsideration ‘is an extraordinary remedy to be employed sparingly.’ Relief under Rule 60( b) is available only when one of the following: mistake, inadvertence, surprise, or excusable neglect; (2) newly uncovered evidence that, with reasonable diligence, could not have been discovered in time to move for a new trial under Rule 59(b); (3) fraud (whether previously called intrinsic or extrinsic), misrepresentation, or misconduct by an opposing party; (4) the judgment is void; or (5) it is based on an earlier judgment that has been satisfied, released or discharged. “[A] Pyrrhicmotion for. reconsideration is not a vehicle ‘to reiterate arguments previously made’']",['gov.uscourts.flsd.393904.48.0.txt'],deny,782,/mnt/a536sing/sdn1/gvc-recap/4/gov.uscourts.flsd.393904/,train
166,"['Claimants Phung Lee and Sant Mai moved for forfeiture of $64,000 in money orders and cashier’s check. Motion was granted on May 7, 2009. Claimants reserved right to move for Mitigation of Forfeiture under the Excessive Fines Clause of the Eighth Amendment of the United States Constitution. 50 percent of the money orders would be forfeited, 50 percent would be returned, and the rest would be used for other purposes. Case No. 4:07-CV-3691-SWS Document 25:06-06-09 Case Number: 4:08-cv-03691 Case Type: Filed 06/05/09 Case Date: 06/07/09 Court Date:06/06/09 Judge: David Hittner, United States District Judge']",['gov.uscourts.txsd.535128.25.0.txt'],"['The United States sought the forfeiture of $64,000 in cash and money orders. The Claimants filed a motion to mitigate the forfeiture as an Excessive Fine under the Eighth Amendment. The parties settled the case by the Claimants agreeing to the forfeiture. of $32,000 (50%) and the United States agreeing to return $32,.000. The United States filed a complaint against the $64,.000 in which the U.S. sought to seize and forfeit the funds because these funds were involved in a violation of 31 U. S.C. § 5316. Under the Eighth, “Excessive bail shall not berequired, nor excessive fines nor cruel and unusual punishment, nor cruel or unusual punishment.” The Eighth Amendment provides that “excessive bail is not required, nor is excessive fines or punishment required.’’']",['gov.uscourts.txsd.535128.26.0.txt'],deny,487,/mnt/a536sing/sdal1/gvc-recap/8/gov.uscourts.txsd.535128/,test
167,"['Watts Guerra LLP respectfully files this Motion for Reconsideration and Expedited. Briefing and Hearing in response to the Parties’ Joint Motion to Correct so-called. “misrepresentations” made by attorney Ryan Thompson and his firm, Watts Guerra. LLP, by counsel, respectfully requests that the Court: (1)set an expedited briefing and hearing schedule on this issue, as set forth in the accompanying. Memorandum and Proposed Order; and (2) reconsider and vacate the Take-Down Order. The foregoing document is sent by first class mail to the following non-CM/ECF participants: Adam E. Schulman, III, Charles B. Molster, III. and William P. Ferranti.', 'Watts Guerra LLP is seeking a stay of the ruling and an expedited hearing. Watts Guerra is a law firm that represents clients of Aaron Thompson. Thompson is accused of making “misrepresentations” on his company’s website. Thompson and his firm are seeking an injunction to stop the company from advertising on the website. The company has complied with the Take-Down Order (including by taking down the www.bringaclaim.com website), but under protest. The Court made no specific findings as to what, in its view, was misleading about these website postings. Absent such a finding, the First Amendment protects Watts Guerrra’“ speech, including speech to its own preexisting clients.” Gulf OilCo v. Bernard, 452 U.S. 89, 101-02 & n.15 (1981) (emphasis added)']","['gov.uscourts.vaed.273842.85.0.txt', 'gov.uscourts.vaed.273842.86.0.txt']","[""Plaintiffs Gregory Thomas Berry, Summer Darbonne, Rickey Millen, Shamoon Saeed, Arthur B. Hernandez, Erika A. Godfrey and Timothy Otten, individually and on behalf of all other similarly situated, and Defendants Reed Elsevier Inc. and LexisNexis Risk Data Management, Inc. (collectively, “the Parties”) submit this memorandum of law in response to Watts Guerra LLP’s Motion for Reconsideration of the Court's October 23, 2013, Order requiring the law Firm to cease use of certain advertisements and communications. The Parties propose that the Court order the law firm to meet and confer directly with the parties’ Virginia counsel to determine if there is a negotiable solution to the pending dispute.""]",['gov.uscourts.vaed.273842.89.0.txt'],grant,1089,/mnt/a536sing/sdag1/gvc-recap/2/gov.uscourts.vaed.273842/,test
168,"[""Michael Harrison, through undersigned counsel, submits this Brief in support of his Motion to Compel Discovery. The motion asks the court to grant Harrison’s Motion to compel discovery. The court should grant the Motion and the relief requested therein for the reasons set forth and explained more fully below. The parties agreed to produce discovery in response to Harrison's Request for Production of Documents on or before December 13, 2013. Harrison was ordered to file a motion to compel with regard to all remaining disputed issues as those issuesbecame ripe. Harrison has not provided discovery for Request Nos. 7, 21, and 23, and Plaintiff refuses toprovide discovery for request Nos. 6 and 9. The suit was filed in the U.S. District Court for the Southern District of Indiana."", 'Malibu Media, LLC v. Michael Harrison, 1:12-cv-01117-WTL-MJD Document 150 Filed 01/09/14 Page 1 of 4 PageID #: 987.677.676. Case No. 1:1:12/01117/WTL/MJD. Case name: Malibu Media v. Harrison. Case date: December 5, 2013. Judge: Mark J. Dinsmore. Plaintiff: Michael Harrison. Defendant: Malibu Media. Case number: 1/12/11/11. Case type: C-1/11-01-11-11. Document type: D-1, D-2, E-3, F-4, G-6, J-7, K-9.']","['gov.uscourts.insd.41796.151.0.txt', 'gov.uscourts.insd.41796.150.0.txt']","['Malibu Media, LLC (“Plaintiff”) moves for the entry of an order allowing Plaintiff a brief two (2) week extension to respond to Defendant Michael Harrison’s Motion to Compel. A hearing is scheduled for January 30, 2014 at 11:00 AM [CM/ECF 152]. Plaintiff requests that the time within which it has to respond. to Defendant’\u2009“Michael Harrison” be extended until February 6, 2014. A proposed order is attached for the Court’S convenience. The request is made in good faith and not made for the purpose of undue delay. None of the parties would be prejudiced by the granting of the extension of time, and said extension would not interfere with any case management deadlines because they were suspended.', 'Malibu Media, LLC, responds to the Defendant’s Motion to Compel. The motion “completely circumvent[s] the protections afforded by Federal Rule of Civil Procedure.” The motion should be denied in its entirety, the court says. The judge also rules that the request to compel documents is “a violation of the First Amendment rights of the parties’ respective attorneys’ fees and expenses” and that the motion to compel is a violation of “the Fifth Amendment rights’ of the plaintiffs and the defendants’ attorneys” Malibu Media has filed a motion to dismiss the motion and asks the judge to throw out the motion. The court says the motion is a “misrepresentation” of the “first amendment rights of Plaintiffs’ lawyers and their clients”']","['gov.uscourts.insd.41796.153.0.txt', 'gov.uscourts.insd.41796.157.0.txt']",deny,242,/mnt/a536sing/sdah1/gvc-recap/6/gov.uscourts.insd.41796/,train
169,"['The Pennsylvania State Police, by its attorneys, asks for a continuance of the trial date previously scheduled in the above captioned case. The case is an employment discrimination action brought pursuant to Title VII. Plaintiff claims he was subjected to a hostile work environment and disparate treatment based on his race. The defense is informed that Sidney Simon is not available for the scheduled trial date because of a previously scheduled work commitment. It appears that defense counsel and all necessary defense witnesses will be available during this Court’s next scheduled trial term, or otherwise at the Court\u2009s convenience. The final pretrial conference and jury selection is scheduled for 1:30 o’clock p.m. on Tuesday, October 9, 2007. The trial date is set for the week this case has been set for trial.']",['gov.uscourts.pawd.2688.29.0.txt'],"[""Billy R. Williams, by and through his counsel, Neal A. Sanders, Esquire, and Dirk D. Beuth, of the Law Offices of Neal. Sanders and files this opposition to Defendant’s Motion For Continuance Of Trial Date. Plaintiff and his counsel object to the continuance of the October 9, 2007 jury trial for the Defendant's stated reasons. Videootaping of the trial testimony of Sidney Simon by Defendant at an agreed upon date and time prior to October 5, 2007 should be the remedy or outcome of this scheduling conflict for Defendant. Plaintiff respectfully requests that the Court deny Defendant's Motion for.Continuance for the stated reasons and Order that Defendant secure their defense trial testimony and cross examination by videotape.""]",['gov.uscourts.pawd.2688.30.0.txt'],grant,558,/mnt/a536sing/sdg1/gvc-recap/8/gov.uscourts.pawd.2688/,train
170,"['The wire fraud charges should be dismissed because the allegedmisconduct occurred abroad. The wire fraud statute does not apply to extraterritorial conduct. The first scheme—an alleged “fraud” on Autonomy shareholders—is extraterritory and should be. dismissed. The securities fraud charge should be dismissal because the indictment.does not allege that Mr. Hussain acted “in connection with” HPQ.securities. The indictment does not allege a scheme to defraud ‘in connection’ with the purchase or sale of U.S.-listed securities or of HPQ securities as applied to Mr Hussain. Mr Hussain is charged with two counts of wire fraud. The trial is scheduled for September 20, 2017 at 11:00 a.m.']",['gov.uscourts.cand.305114.113.0.txt'],"['The United States respectfully submits its Opposition to Defendant’s Motion to Dismiss. The motion should be denied because (1) Counts One through Fifteen sufficiently allege domestic violations of the wire fraud and conspiracy statutes, and (2) Count Sixteen sufficiently alleges fraud “in connection with” securities of Hewlett-Packard Company (“HP”). In his motion to dismiss, the defendant, Sushovan Hussain, argues that “there is no basis to” the charges against him. “I believe that Mr Hussain would ever ‘reasonably [have anticipated] being ‘haled into court’ in this country’ for statements Autonomy made in England in 2009 or 2010” “The defendant could reasonably expect to be prosecuted in the very jurisdiction where he allegedly pumped his false and misleading story.”']",['gov.uscourts.cand.305114.115.0.txt'],deny,97,/mnt/a536sing/sdw1/gvc-recap/4/gov.uscourts.cand.305114/,test
171,"['Bank of America submits a motion seeking an extension of time to respond to Plaintiffs’ Motion to Compel (“Motion’) Bank of America states as follows: “Plaintiffs filed the Motion requesting an order compelling Bank of. America to produce certain documents and electronic records.” Plaintiffs do not oppose the requested relief. Bank requests that the Court extend Defendant’s.time to respond by 14 days, to and including August 20, 2012. The motion was filed on July 31, 2012 in the U.S. District Court for the District of Massachusetts. The case is No. 1:10-md-02193-RWZ Document 134 Filed 07/31/12 Page 1 of 2.', 'Plaintiffs seek an order compelling Bank of America to produce documents relevant to class certification and to Plaintiffs’ claims in this case. The parties have reached an impasse on the following document requests: Electronic documents, including email, based on a targeted search for relevant electronicdocuments, which BOA still refuses to even perform. Data BOA has withheld from a randomly selected sample of borrower account files, which the Court compelled last February. Plaintiffs respectfully request that the Court grant this Motion andcompel BOA to produce the documents described herein. Case 1:10-md-02193-RWZ Document 126 Filed 07/23/12 Page 3 of 3 Page 1 of 3 page 2 of 3 of the motion. Case No. 1: 10-MD-02192-WZ and the exhibits attached to it are under seal.']","['gov.uscourts.mad.131942.134.0.txt', 'gov.uscourts.mad.131942.126.0.txt']","['Plaintiffs’ request for Email Should be denied. Proposal Would Impose an Undue Burden on BANA that is NotJustified at this Pre-Certification Stage of the Lawsuit. No BANA employee has testified that they could notprovide substantive testimony without seeing their old email. No evidence of BANA’s purported “scheme toreprewrongfully deny mortgage modifications” does not justify the burden of their proposal. Some of the Information Plaintiffs Seek, To The Extent BANA Understands Plaintiffs�’ Demands, Doesn’t Exist Or Would Be Unduly Burdensome To Produce. Plaintiffs Have Failed To Meet. And Confer In Good Faith On This Topic.']",['gov.uscourts.mad.131942.137.0.txt'],deny,140,/mnt/a536sing/sdaf1/gvc-recap/2/gov.uscourts.mad.131942/,train
172,"['The motion asks the court to reconsider its order granting Rule 11 sanctions against Plaintiffs for filing this case in federal court. The case shows that courts do have authority to grant injunctive relief in casesunder the Individuals with Disabilities Education Act, when the circumstances are appropriate. Plaintiffs respectfully request that the court reconsider and vacate its order for Rule 11. sanctions [Dkt. 41]. The motion was filed electronically and furnished electronically by Notice of Electronic Filing this 29th day of July 2013 to Matthew Fuqua, Matthewfuqua@embarqmail.com., and Bob L.Harris, Messer, Caparello & Self, PO Box 15579, Tallahassee FL 32317, at: (850) 668-9203.']",['gov.uscourts.flnd.67528.86.0.txt'],"['Plaintiffs filed a Motion for Reconsideration Rule 11 Sanctions on July 29, 2013, seeking to reopen a February 15, 2013 order which granted Rule 11 sanctions against Plaintiffs. The Court denied the motion because Plaintiffs failed to state a sufficient basis for reconsideration and, accordingly, the motion must be denied. The time limit for filing a motion under Rule 59 has been expanded from ten days to twenty-eight days under Rule 60(e) of the Federal Rules of Civil Procedure. The motion was filed more than 20 days after the entry of the Order from which Plaintiffs seek relief. The Motion must be construed as a Rule 60 (b) Motion for Relief from Judgment of Order and the Court will construe it as a motion for relief from an order pursuant to Rule 60.']",['gov.uscourts.flnd.67528.87.0.txt'],deny,1096,/mnt/a536sing/sdh1/gvc-recap/8/gov.uscourts.flnd.67528/,test
173,"['Rita MariNa Hymes and Donald Louis Hymes (""the Hymes"") served upon the ""UNITED STATES OF AMERICA"" (""USA"") Requests for Admissions, Interrogatories and Discovery under the Federal Civil Rules for the First Set of Admissions to the USA. The Hymes linked the Admissions,. Interrogatory and Discovery by the exact. same means that Auchterlonie did to the Requests to the Hymes. The Answers for Admission, Interrugatories and. Discovery by Auchtersonie are: ""The United States further objects to this request on the ground that it is vague,ambiguous, and utterly unintelligible; thus, it is incapable of being answered"" ""The Hymes are not asking for any conclusion of law, and/or asks the United State for aninterpretation of a document that speaks for itself""']",['gov.uscourts.akd.336.102.0.txt'],"[""The United States stands by each and every objection and response to the written viewpoints of defendants. The United States respectfully requests that the Court deny defendants’ motion to compel. The motion fails to set forth any legal or factual grounds to support Defendants’ apparent disdain for the United States’ responses to their written discovery requests. The U.S. is simply at a loss as to how to respond to the defendants' mistaken beliefs. As such, the motion must be denied, and a copy of the foregoing was served on the defendants on April 9, 2007, at Washington, D.C., by the office of Jennifer A.D. Auchterlonie, P.A. The case is No. 3:05-cv-00123-RRB, and the complaint was filed on 04/09/2007.""]",['gov.uscourts.akd.336.107.0.txt'],deny,32,/mnt/a536sing/sdaa1/gvc-recap/6/gov.uscourts.akd.336/,test
174,"['The motion is filed on behalf of the following defendants: CBC Coating Inc., Georgia Pacific Consumer Consumer Consumer Products LP (p/k/a Fort James Operating Company Fort James Corporation), and Georgia-Pacific LLC. The motion seeks an Order granting each FRG Defendant leave to file an Amended.Counterclaim against Appleton Papers Inc. and NCR Corporation (collectively, “Plaintiffs”). The proposed amendment would simply clarify and confirm the FRG Defendants seek a judgment reallocating FRG assessments paid by each FRg Defendant. This action is related to the contamination of the Lower Fox River which is the subject of this action and their previously asserted counterclaims. The defendants also submit along with this Motion a brief in support of the motion.', 'Fox River Group: CBC Coating Inc., Georgia-Pacific Consumer Products LP (f/k/a Fort James Operating Company), Fort James Corporation, and Georgia- Pacific LLC (collectively, “GP”), P.H. Glatfelter Company, U.S. Paper Mills Corp., and WTM I Company. Appleton Papers Inc. (“API”) and NCR Corporation ( “NCR’s” ‘Plaintiffs’) (hereinafter, ‘FRG Defendants’). The court has issued a final allocation ruling in two summary judgment opinions, dated December 16, 2009, and March 1, 2011. Plaintiffs now contend that the FRG Defendants may notreallocate any FRG assessments unless the underlying costs paid by those assessments can be otherwise recoverable.']","['gov.uscourts.wied.45575.1185.0.txt', 'gov.uscourts.wied.45575.1186.0.txt']","['Appleton Papers Inc. filed a motion for reconsideration in the Fox River River case. The case was brought by the Wisconsin Department of Natural Resources. Appleton Papers, along with NCR Corporation, are suing the state of Wisconsin for damages related to the river. In August 2011, the U.S. District Court in Wisconsin ruled in favor of Appleton, but the decision was later retracted. The court has since ruled that Appleton is not liable for any of the damages caused by the river in the past or in the future. The defendants are seeking to amend their counterclaims against Appleton and NCR. They say the Court has ruled that they are liable for 100% of recoverable response costs in the OU2-OU5 area. The Court has yet to render a final decision in the case.', 'Papers Inc. and NCR Corp. are suing the state of Wisconsin. The suit was filed in the U.S. District Court for the Eastern District of Wisconsin on 10/17/11. The lawsuit was originally filed on 9/16/10 in the federal district court for the same district. The case is being heard by the United States Court of Appeals for the Seventh Circuit in Washington, D.C., and is expected to be heard on 12/23/11 in Washington. The trial is scheduled to begin on 11/25/11 at 9:30 a.m. and end on 13/27/10 at 10:30 p.m., and the trial is set for 11/28/11 and 13/29/11 respectively.']","['gov.uscourts.wied.45575.1215.0.txt', 'gov.uscourts.wied.45575.1212.0.txt']",deny,109,/mnt/a536sing/sdm1/gvc-recap/5/gov.uscourts.wied.45575/,train
175,"['J. J. Jargon Co. and Jeannette C. Linders move this Court for a protective order quashing in their entirety the third party subpoenas sent to performing houses at which the Defendants’ play, Menopause the Musical, (the “Musical”) has been performed. Plaintiff seeks sensitive financial documents from at least a dozen Playhouses where the Musical has beenperformed. Plaintiff does not allege or even contend that the Musical in any way infringes his alleged work. Rather, Plaintiff alleges the free program or Playbill distributed at two productions of the Musical included a simple, fact intensive “Age Test” Plaintiff claims to have authored. Defendants have already timely objected to providing such documentation to Plaintiff. Plaintiff’s attempt to obtain the sensitive documents and clearly irrelevant documents from third parties constitutes harassment.']",['gov.uscourts.flmd.185863.21.0.txt'],"['Jargon Co. and Jeanette C. Linders seek to quash a subpoena. The subpoena is related to a play entitled Menopause the Musical. The play contains a verbatim copy of Thornton\'s copyrighted ""Take the Age Test"" Thornton has learned that Defendants\' counsel contacted at least one playhouse on an ex parte basis and, on a not-so-subtle basis, encouraged the playhouse to object to the subpoena under Fed R. Civ. P. 45. The response date for these documents expired weeks ago. Defendants recognize that, as a party, they do not have any basis to pursue such a charge. The Motion should be denied for several reasons: (1) Rule 45 provides adequate protection to the third parties subpoenaed; (2) Defendants don\'t have standing toQuash these subpoenas; (3) the parties have agreed to a Protective Order, which alleviates any reasonable concerns the Defendants have intimated; and (4)']",['gov.uscourts.flmd.185863.26.0.txt'],deny,407,/mnt/a536sing/sdm1/gvc-recap/3/gov.uscourts.flmd.185863/,train
176,"[""The plaintiff has alleged copyright infringement against the defendant. The defendant's counterclaim for Declaratory Relief fails as a matter of law and should be dismissed. The court should dismiss the counterclaim because it merely restates issues that are already before this Court; namely, whether Defendant is liable for the alleged infringement. “To survive a motion to dismiss, a complaint must allege ‘enough facts to state a claim to relief that is plausible on its face,’” Rule 12(b)(6) test the sufficiency of the complaint. The judge should dismiss Defendant’s counterclaims that are, in truth, answers or defenses since they are not independent pieces of litigation, the judge writes. The motion to strike the defendant's Counterclaim was filed on 10/10/16.""]",['gov.uscourts.casd.499990.16.0.txt'],"['Malibu Media, LLC is one of the most prodigious litigants in the nation. Their litigation strategy does not seek a ruling on the merits, but is instead (in the words of a federal judge) “essentially an extortion scheme” Malibu Media wants to escape via the backdoor, in an effort to avoid the statutory costs and attorney fees available to a prevailing defendant in a copyright action. The court will decide the common copyright infringement issue unless the parties or Plaintiffs withdraw their complaint. This begins at the real issue in this case in the Northern District of California in the U.S. District Court for the Southern California. The hearing is scheduled for January 12, 2017 at 2:00 p.m. (C.D.C. June 27, 2012)']",['gov.uscourts.casd.499990.22.0.txt'],deny,259,/mnt/a536sing/sdh1/gvc-recap/0/gov.uscourts.casd.499990/,test
177,"['The Grand Canyon Trust, the Havasupai Tribe, Center for Biological Diversity, Sierra Club, and National Parks Conservation Association are the defendants. The Interior Department May Represent TheInterests Of The Proposed Intervenors And Their Members. The Motion To Intervene Is Timely. The Grand Canyon region is at risk of being mined by the U.S. Bureau of Land Management. The Mining Action Project is a non-profit 501(c) (3) organization. The United States Department of the Interior is the defendant. The Utah Department of Game and Fish is the plaintiff. The Colorado Department of Wildlife and Parks is the Defendant-Intervenor. The National Park Conservation Association is also a defendant-intervenor in the case. The plaintiffs are the Grand Canyon trust and the Hav asupai tribe.', 'Grand Canyon Trust, the Havasupai Tribe, Center for Biological Diversity, Sierra Club, and National Parks Conservation Association are the defendants. Plaintiffs are seeking relief from the effects of unrestrained uranium mining on one million acres of public land adjacent to Grand Canyon National Park. Proposed Intervenors meet the Ninth Circuit Court of Appeals’ standard. for intervention as of right. The proposed answer is attached as an Exhibit to the memorandum in support of the motion. The motion is filed as required by Fed. R. Civ. P. 24(a)(2), and permissively pursuant to Rule 24(b) The motion was filed 03/12/12 in the U.S. District Court for the District of Arizona. It was filed as a matter of right by Grand Canyon Trust.']","['gov.uscourts.azd.653020.15.0.txt', 'gov.uscourts.azd.653020.14.0.txt']","[""The lawsuit concerns the unlawful withdrawal and closure of 1 million acres of land in Northern Arizona. The only issue at hand is whether the Northern Arizona Withdrawal (NAW) was properly conducted under NEPA. Plaintiffs' environmental and cultural interests have nothing to do with whether the NAPW is legal, which is the sole and only issue to be decided by the Court. The Northern Arizona Mining Act of 2011: Continuity of Mining Act on Hg., H.R. 98, 98 1485 (August 28, 1984). This portion of the Act was the result of a compromise between environmental groups, the livestock industry, the uranium mining, and others, eg., the NorthernArizona Mining Act. The suit was filed by Grand Canyon Trust, the Havasupai Tribe, Center for Biological Diversity, SierraClub, and National Parks Conservation Association.""]",['gov.uscourts.azd.653020.29.0.txt'],grant,202,/mnt/a536sing/sdh1/gvc-recap/0/gov.uscourts.azd.653020/,train
178,"[""Wendy DoBBINS, individually and on behalf of persons similarly situated, v. SCRIPTFLEET, INC., a Florida corporation. Plaintiff was a driver employed by Defendant as a courier. Plaintiff and the other couriers worked consistently over 40 hours in a work week, but Defendant never paid them time-and-a-half for their overtime hours because Defendant misclassified them as independent contractors. Defendant’s Counterclaim is for contractual indemnity. Counterclaims by employers for indemnity for FLSA claims are strictly proscribed. For all of these reasons, Defendant's Counterclaim must be dismissed, with prejudice. Case 8:11-cv-01923-SCB-AEP Document 41 Filed 04/19/12 Page 1 of 9 PageID 221.""]",['gov.uscourts.flmd.262099.41.0.txt'],"['Wendy Dobbins, individually and on )half of persons similarly situated, sued Scriptfleet, Inc. (“Scriptfleet’s” “Defendant/Counterclaim Plaintiff”) Scriptfleet is a Florida corporation, )f/k/a Network Express, and XYZ Entities 1-10 (fictitious names of unknown liable entities) Case No. 8:11-cv-01923-SCB-AEP Document 43 Filed 05/03/12 Page 1 of 18 PageID 233 grotesquely. Unclear if the case will go to trial or stay in the hands of a jury. The case is being handled by the U.S. District Court for the Middle District of Florida.']",['gov.uscourts.flmd.262099.43.0.txt'],deny,728,/mnt/a536sing/sdt1/gvc-recap/9/gov.uscourts.flmd.262099/,test
179,"[""City of Antioch moves this Court for a Judgment on the Pleadings to dismiss the Eighth Claim for Relief in Plaintiffs' First Amended Complaint with regard to PlaintiffPriscilla Bunton and the class. This motion is brought per FRCP 12(c) and (h)(2)(B) on theophobicgrounds that it is apparent on the face of the pleading that Plaintiff Bunton failed to meet essential state tort claim requirements to seek statutory damages under Cal. Civil Code 0x00A7 52. The issues to be decided in this motion and the short answers are as follows: 1. Is the class barred from seeking damages under the Cal. civil code? 2. Did the class meet the tort requirements to file a government claim? 3. Does the class have a case to answer?""]",['gov.uscourts.cand.205437.173.0.txt'],"['The Government Tort Claims Act is not Applicable to cases in which the Plaintiff’s primary Objective is to Obtain Injunctive and Declaratory Relief against a Government Entity. Saundra Brown v. City of Antioch, City of San Francisco, is a Class-Wide Claims on aClass-Wide Basis. The suit was filed in the U.S. District Court for the Northern District of California on January 12, 2010, and settled on January 13, 2010. The case was settled out of court on January 16, 2010; the settlement was confidential. The settlement was reached on January 21, 2010 and was finalized on January 23, 2010 in San Francisco; the case is still pending. The plaintiff and the defendant are represented by the same lawyers. The lawsuit was filed on behalf of the City of ANTIOCH.']",['gov.uscourts.cand.205437.196.0.txt'],grant,304,/mnt/a536sing/sdak1/gvc-recap/7/gov.uscourts.cand.205437/,test
